time,carts_cpu,carts-db_cpu,catalogue_cpu,catalogue-db_cpu,front-end_cpu,orders_cpu,orders-db_cpu,payment_cpu,queue-master_cpu,rabbitmq_cpu,shipping_cpu,user_cpu,user-db_cpu,carts_memory,carts-db_memory,catalogue_memory,catalogue-db_memory,front-end_memory,orders_memory,orders-db_memory,payment_memory,queue-master_memory,rabbitmq_memory,shipping_memory,user_memory,user-db_memory,carts_memory_rss,carts-db_memory_rss,catalogue_memory_rss,catalogue-db_memory_rss,front-end_memory_rss,orders_memory_rss,orders-db_memory_rss,payment_memory_rss,queue-master_memory_rss,rabbitmq_memory_rss,shipping_memory_rss,user_memory_rss,user-db_memory_rss,carts_memory_cache,carts-db_memory_cache,catalogue_memory_cache,catalogue-db_memory_cache,front-end_memory_cache,orders_memory_cache,orders-db_memory_cache,payment_memory_cache,queue-master_memory_cache,rabbitmq_memory_cache,shipping_memory_cache,user_memory_cache,user-db_memory_cache,carts-db_disk,catalogue-db_disk,front-end_disk,orders-db_disk,rabbitmq_disk,user_disk,user-db_disk,carts_power,carts-db_power,catalogue_power,catalogue-db_power,front-end_power,orders_power,orders-db_power,payment_power,queue-master_power,rabbitmq_power,shipping_power,user_power,user-db_power
1720275936.985,0.10637292036147979,0.009681043778719126,0.019508912978626638,0.013622421998431033,0.10511277575944503,0.0038263560958434572,0.005012759381894261,0.0019754880140394047,0.0040313227821149504,0.09146282361611224,0.004344182340339084,0.009241494216078575,0.008814304428637808,48136241.73962158,10188388.282596208,357333.6243747158,15597425.720175872,1883832.4026371725,7148473.732001556,12939542.503070634,188967.48864726,103325960.53938964,11187714.397656672,28138837.661138404,1007908.0392870136,3020867.712764056,47558524.71053375,5587.59333716255,2235.1978171896317,11283.746556473829,1785110.4946499981,1290.3656208883865,75.08845258391538,74.10489750872941,581.4052519517388,7544498.96453292,6949568.352232852,744.9981811567843,292.81195267541193,0,73.52096496266513,0,0,0,0,75.08845258391538,0,0,0,0,0,73.20298816885298,0,0,0,0,0,0,0,0.017162468446214718,0.001308461570808751,0.001402762526461331,0.0015861989828387022,0.008230794743434765,0.0004986168689249616,0.0007210368345878865,0.00035752501477003353,0.0006544714296057928,0.010854565346453108,0.0007990199230199967,0.0012969211143222309,0.0013982430518655418
1720275941.985,0.10928053575813108,0.0099376042679972,0.020544157815511693,0.01502256175573628,0.11204951489551518,0.003846554476335978,0.0050810273707112726,0.0017059225652949759,0.0042191441462748665,0.09211208420994658,0.004305589091311005,0.009224480664875875,0.009112530502602864,42787532.75309207,12731438.66324461,536107.9394217532,15513317.455707233,3485265.9162207055,7016499.108734403,12763891.50090416,147.65947475621405,105948500.46393159,11007487.72741459,28065903.365446605,1244993.7803097225,2508561.922229015,42265916.6284929,4998.976972916704,2030.1422670949978,4238.164391519024,3288062.2993172174,1266.5429808286951,74.06871609403255,73.82973737810703,670.6813426726098,7425377.026307577,6931744.542892405,812.2735221475058,303.52544508049425,0,73.51436724877506,0,0,0,0,74.06871609403255,0,0,0,0,0,75.88136127012356,0,0,0,0,0,0,0,0.017155887574744216,0.0015740496810544402,0.0020246676581204878,0.0016254129659213914,0.00833913906732413,0.0005009612357832466,0.0007673422879252461,0.0003151319039970369,0.0007380960633879227,0.01259077426875913,0.0008007222970644806,0.0014650846741522867,0.0013560595367840787
1720275946.985,0.11258647117891105,0.010188596604805061,0.022210923565004686,0.016016420270969816,0.1178050921043343,0.0043042345138514,0.004999216147635526,0.001986961134967658,0.004644412384547734,0.09156712575503058,0.004275385284256301,0.00982498528354776,0.009091850438081476,42859571.31842714,12758014.674147604,536962.9779486142,15261239.320968922,3322397.8540166593,7186714.607746336,12527342.170171235,148.4299976445435,80043066.99897376,12846059.68762286,21046159.831988502,1236336.6635520735,2450348.4780056,42345710.32051988,4493.166450870378,2184.613686940209,4167.580014637368,3137852.3224622332,1449.8574808577232,72.68210451601455,222.64499646681526,975.8099985339393,9029894.706744343,6932383.036734092,883.2027600086251,147.99024478366906,0,73.65846640771112,0,0,0,0,72.68210451601455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01830072655739871,0.0016743650142001078,0.0021326590903558485,0.001635774487394767,0.00822673928365142,0.0005509319791903638,0.0007298057577012554,0.00042376996893008477,0.0007827640063099709,0.012544364226460592,0.0007507826699302639,0.001579659274515133,0.0011907616428072187
1720275951.985,0.11059506983003094,0.010420545951244304,0.024090544833988647,0.017302908431436084,0.12623034273697717,0.004150243950697964,0.005165152043578221,0.0019599293910923044,0.0045173873696030195,0.09202509316390078,0.004337153055244833,0.00969331925962434,0.009334454654003711,42168609.64904359,12880418.50756022,361613.51390709187,19233961.910933506,3333707.340544972,7001989.65310679,12816005.22818865,220.3256114179158,105470293.82787599,10781729.507901652,20289503.595972516,1007644.5612690068,3107533.4790675463,41659300.8326861,3866.1850392986153,2087.6656472986747,3833.9633509738273,4590471.940548536,892.228938626586,74.35646080673855,220.3256114179158,964.3581570559259,7275085.2082508365,6682430.557775293,971.9803588704525,150.48588276356156,0,74.34971229420414,0,0,0,0,74.35646080673855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018483913023188383,0.001599989234596795,0.0028338382170400773,0.0015239597245949904,0.008587761673277378,0.0005595784863272788,0.0007819201519657974,0.0004102694102265762,0.000844499092073059,0.012789644167645014,0.0007544408607877357,0.001502673344023081,0.001208054657081049
1720275956.985,0.10914382782887277,0.010479557337840999,0.02523500598575678,0.01852740232125939,0.13392852878452666,0.004116939070816436,0.004982996601690386,0.0016458965744400528,0.00415426923287422,0.09048015587726489,0.004237960797172743,0.010270891057763624,0.009370839234381416,34970113.280898474,12761910.05053139,526612.7467772468,15580830.551709061,3335132.669265194,6959467.96571944,15593938.10409264,364.6334081116689,132801339.19547571,10906033.542747883,27747799.613801144,1000862.4201747562,3019983.64490153,34545407.894026384,3167.2570986710784,1993.906066889029,4403.177610961301,4603713.007073768,812.9183581416328,0,364.6334081116689,896.6888625376267,5522346.317035419,6855170.182533611,889.1944208260217,365.6685771421429,0,73.65714182955996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01754809498066011,0.0014306078421996889,0.002877655584734914,0.001943013323326856,0.008622678204727709,0.0006509868130124581,0.0007432804995901762,0.00041227480133224076,0.000801917465562739,0.012712497145608286,0.0006841040225301569,0.0014653453095919847,0.0012976864861238792
1720275961.985,0.11081114570464014,0.010988521240865136,0.027379705345911946,0.01939117290290147,0.14255910287901497,0.004673566166612353,0.005087763428456582,0.001969165864487725,0.004114808565866305,0.09040490216713856,0.004251140454778089,0.010962206694342573,0.009714238205556454,27889252.693578504,15711940.946334982,545072.5860155382,19192130.996839993,3366027.17994433,6989633.945718737,15266895.671916105,195386.0159689575,107976134.23565403,10665485.976815,20874491.18958836,1030919.8205409831,3033730.7975504193,27554955.89714121,2267.6607366944713,1969.9593044765072,4338.983050847459,6111473.138428511,1855.2741239989853,0,305.6488321767032,911.3191804950402,5397658.137008743,6878476.858960299,1067.5205242288287,514.914785482104,0,75.58869122314904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017710475603799344,0.0013706932838643815,0.0028983900760575884,0.0018511573825821931,0.008389087155104473,0.0006912145288134645,0.0007364477581686158,0.00036574475368843343,0.0007509632616306953,0.014830078331479094,0.0006376549734428095,0.0014655947539033531,0.001423991719888261
1720275966.985,0.1066618272123182,0.011176382189105116,0.029224223591581163,0.02115527812062718,0.14672627737213084,0.005026338190945689,0.004974046070124437,0.001935875532012056,0.004112375452990187,0.09130302488679383,0.003875154276477121,0.01083786804790376,0.009605534962710036,27659889.535922255,15396965.636981841,540158.7491177588,19182612.46456891,4909129.658413157,6966609.819961355,17519051.01570532,191388.5834322769,107130054.56117438,11114782.273030955,13829105.399858331,998086.0172323477,3037789.9901159126,27338396.484584324,1481.588656586848,1927.285230830483,4335.402389580568,6071229.929513826,1775.1774202286147,0,299.27847291990133,904.1776273431321,3752259.52045134,297.582505403491,1035.8194396777515,515.26642106209,0,74.0794328293424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017824246055912,0.0011998300135013997,0.0033570597381705628,0.002487717260327015,0.011758121594871499,0.0007458783738281209,0.0006977146163858406,0.0003434330107207052,0.0007191639479199467,0.012852172954907638,0.0006428219365050351,0.0015311107936840911,0.0012525642087452165
1720275971.985,0.10341616594972321,0.011239199584800073,0.030799151205688928,0.022065392462686566,0.14958478194464367,0.005518496506088859,0.005095826633975232,0.001676134458236595,0.0041115284898465545,0.09273445753674794,0.004465599381948467,0.010940677282028795,0.009803895915161037,21084790.997368183,15367375.683725966,534219.6082624891,19949583.283582088,6320075.720636743,14296255.491093772,15165961.199799558,191542.53121515145,106254315.89702423,10934558.641468091,13922490.345231127,760647.2264854198,2532171.62308757,20832838.11598149,665.4752233956133,1971.0206918676147,4508.6567164179105,5918802.237200633,1670.256343719301,73.30517574629538,299.5192044021133,896.7870240289005,3691897.233634621,374.4880046811,972.8860629978805,2451.501889050986,0,73.94169148840147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017971501224399698,0.0013827456856266246,0.0041353894832120664,0.0030816329071798824,0.012717763770750089,0.0007419334035265028,0.0007877279870938997,0.00027624168518434073,0.0007168872935162942,0.011016179144486968,0.0006430213095525165,0.0015655239794814724,0.001434035374896528
1720275976.985,0.11637039205398658,0.011526032453444225,0.031980946735489534,0.023087085793456252,0.15203197107345476,0.005307771516147415,0.004971231776477388,0.0019797885523500335,0.003588660590214305,0.09128720771196883,0.004438520156520137,0.011702450650232028,0.00984013878337564,27978378.15931829,12827789.26053155,722964.6550619589,22787374.045259155,8093238.578680203,7122488.468711339,15300373.934402542,193270.27226444334,133098505.96065238,11010838.534100732,6930287.378287379,763844.3845264954,2510924.12310771,27647944.42132687,222.1659736033267,2174.2170483041386,4801.875732708088,7585442.818751866,1512.639178684196,73.97774888021962,377.7761381244006,823.813354786806,3717227.5159516763,372.7363727363728,1126.9465690860068,2352.758064814986,0,74.05532453444224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01724016254907498,0.0012406920553195329,0.004145101983934887,0.0031597084591401133,0.013471634944296556,0.0007603416553588204,0.0007595634770169213,0.00035336136833845637,0.0005612397859957051,0.012871841997682872,0.0006110064436677622,0.0014631859168633531,0.0013815567483326588
1720275981.985,0.10943677581462713,0.011593509023259157,0.032948746557459135,0.023962793413732586,0.1562693038959151,0.005194342682186544,0.00509137304708448,0.0019609565257034485,0.0032099369029345245,0.09143280149486588,0.0045154459526205275,0.0120751493447064,0.010094798490417898,34960887.47284576,12755512.672106983,874459.8876926927,19965916.29018407,6391105.683965693,6886360.6955404,15138769.725787422,191142.18502106244,105166418.05869076,8694395.704074597,6965785.054422391,763464.0503734075,3018316.833803219,27649631.281679943,220.87212855448104,2417.2538359741047,3670.387932643841,5992610.553859573,1462.4915199771485,73.21869078688641,373.47046702044247,517.7787810383747,1836296.7961975252,449.57468215494373,1199.5899838922244,2338.81731558474,0,73.62404285149368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011334961304324875,0.0014092251510482625,0.00457008304718329,0.003443053981094766,0.01626506258096189,0.0007459900747358371,0.0007986942940291624,0.0003769359252667052,0.0005612770196316107,0.01075656651963858,0.0006519104972909133,0.0014983879328299022,0.0014597811347689053
1720275986.985,0.08236369299055465,0.01145673714211203,0.03402730039568737,0.025148081002457353,0.15621961566567297,0.005245476835288998,0.004988941115940743,0.0017559075055471002,0.003232767429808836,0.0926796025208749,0.004781307295226467,0.011820945910963651,0.010081721123083144,27445032.597116675,15857913.156865302,889248.4844084654,19324854.5822492,6359700.42899731,6899910.704064109,15027556.533309676,192207.72743109675,134727477.7812737,10573518.103341747,6848964.639015793,760672.913552339,3110070.974147758,20346264.04374689,228.89927910139153,2230.369913239191,4070.5406186759174,5957337.5990692945,1465.3692043503147,72.66920961589638,375.5524178020648,530.6583257759434,1787657.0339117693,515.7020036691968,1269.4060597221717,2334.7184937300035,0,76.29975970046384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010462996531171392,0.0012833893741780388,0.00532637283892419,0.003386864660944066,0.01914659424858259,0.000835450101676108,0.0007149675523308576,0.00033253976759789494,0.0005176432384895452,0.008934078595640403,0.0007540665060592181,0.0014648852918831255,0.0013838984309825402
1720275991.985,0.08449383618550446,0.011836794311518992,0.03503750043512945,0.026004506790178968,0.15509816202100069,0.006053517414361459,0.005117667142099586,0.0020566361714415365,0.003248517178758155,0.0926299397166257,0.005102161990818339,0.01201925245336317,0.010347027169645955,28384994.651030276,12922485.451036092,890699.5431140764,23079057.325299036,7909504.434087159,6911523.004156514,12909586.556219943,192815.87903092292,133531854.05851601,12711851.555728512,6937053.413976535,762820.5513876405,2474337.9042123905,21030520.22866386,223.75177537419427,2153.6006962071215,3389.081751956111,7412481.601711975,2201.519277626487,74.89897050487319,376.74067805963836,525.9469870677796,3576799.9575469196,596.9540188005537,1051.855384558945,2318.4764547994228,0,0,0,0,0,0,0,0,0,0,0,0,149.5791261160918,0,0,0,0,0,0,0,0.010208748129214316,0.0012407351850299525,0.005470648569147213,0.003081796379751545,0.016953010567199937,0.0009271266828377347,0.0008095817044186578,0.0004283141423560489,0.0004723271108665056,0.01074889203784158,0.0009977142502661475,0.001329897966811592,0.0012054349120570178
1720275996.985,0.08268711875730135,0.012156495613955435,0.03570921452139264,0.02677991185947598,0.16004886851167172,0.007398174299347306,0.005031589899063913,0.002049683804130807,0.0032898718546637436,0.09190585559944447,0.006698647112105729,0.012343151030983483,0.010327442643187797,35192224.29906542,12891304.698425382,712957.8998611686,23623778.60838504,7943534.870233433,14097910.967293732,10351612.22957006,191601.22060408935,131588664.64208244,12957479.501469979,13490159.704461494,749216.1646694735,2462135.8264500317,20883738.31775701,892.6826610486551,2067.8290031191964,2187.1075840989856,5958115.122517035,6966846.779648621,75.03343164373774,449.06536079083446,444.25162689804773,3643277.600418448,6648652.458084684,958.0769369174853,2305.0921303440136,0,74.3902217540546,0,0,0,0,0,0,0,0,0,0,148.71562131251702,0,0,0,0,0,0,0,0.01002196913751912,0.0012624120132945674,0.0056658755013499415,0.0036673584804815967,0.016908174665052816,0.0011899733514250707,0.0007686687084221363,0.0004015659241659136,0.0004795913595808365,0.008988029844246117,0.0010700899405073124,0.0013033588968315362,0.0014034040106992828
1720276001.985,0.08088109194013705,0.01207127810247239,0.036812731007194247,0.027251444061267546,0.16104336110234177,0.007621881799444424,0.0051573244392102025,0.0018150221424967769,0.003208949447423135,0.09133012044452611,0.0067243063955191714,0.012000550781321393,0.010285830201317982,41684960.98088713,13088109.146555062,711348.4892086332,19612938.824176833,8134647.3286412,20712127.466618873,12991381.705095412,198229.34768391354,132752559.6527702,13196734.166054375,20833879.045248207,760883.5602668374,2451400.6807154757,27466538.18968626,906.21139770276,1841.7266187050363,2178.9232321379436,7617256.253598024,13642076.888610091,75.37309313067,306.1457107087468,224.0945398840136,3710551.6531961802,6852132.962366379,898.3276980718268,2298.79064378304,0,75.51761647523,0,0,0,0,0,0,0,0,0,0,148.3090737924542,0,0,0,0,0,0,0,0.009453430979390047,0.0013215208939261422,0.005558979499870177,0.004233854915591542,0.020817807526080607,0.0011924316966266794,0.0008167488078597475,0.0003393184679429501,0.0005755410813643743,0.00927167039142089,0.0011598289826214346,0.0011213883716859117,0.0015897890431033838
